,comments,sentiment,clean_text
0,"RT @rslfi: =ولك أيضا أن تطلع على الجرائم التي ارتكبتها فرنسا الليبرالية في الجزائر وفي غيرها من الدول

ناهيك عما قامت به أمريكا من جرائم حر…",negative,RT : = ولك ايضا ان تطلع على الجرائم التي ارتكبتها فرنسا الليبرالية في الجزائر وفي غيرها من الدول ناهيك عما قامت به امريكا من جرائم حر …
1,RT @escargounet: 🔴صباح اليوم أمام السفارة الجزائرية في فرنسا عدد  من الصحفيين ومن بينهم  كبار الصحفيين الفرنسيين ، دعما لخالد درارني المسجو…,neutral,RT : 🔴 صباح اليوم امام السفارة الجزائرية في فرنسا عدد من الصحفين ومن بينهم كبار الصحفين الفرنسين دعما لخالد درارني المسجو …
2,"RT @1122Mans: كن شيئا جميلاً بحياة من يعرفك ، وكفى أن لنا ربا يجازينا بالاحسان احساناً
#مصر #البحرين #قطر #الكويت #الامارات #عُمان #الاردن…",positive,RT : كن شيئا جميلا بحياة من يعرفك وكفى ان لنا ربا يجازينا بالاحسان احسانا # مصر # البحرين # قطر # الكويت # الامارات # عمان # الاردن …
3,"RT @hafsi_ahmed1: الفنتازيا الجزائرية.. فرسان وخيول (أصحاب البارود)
الصورة من محافظة ميلة
#الجزائر https://t.co/8B21wbACVx",positive,RT _ahmed1 : الفنتازيا الجزائرية فرسان وخيول ( اصحاب البارود ) الصورة من محافظة ميلة # الجزائر
4,"RT @fatooma_dz: سنة 1795م تم توقيع أول معاهدة سلام وصداقة بين الجزائر والولايات المتحدة الأمريكية
إلتزمت فيها الولايات المتحدة الأمريكية بد…",positive,RT _dz : سنة 1795م تم توقيع اول معاهدة سلام وصداقة بين الجزائر والولايات المتحدة الامريكية إلتزمت فيها الولايات المتحدة الامريكية بد …
5,"RT @AhmadDaoud14: #لن_ننسى وإذا تناسى البعض نذكره بما قامت به الجزيرة وما تروج إليه في بلادنا 

#لا_للجزيرة_في_الجزائر https://t.co/xHEa6NF…",negative,RT : # لن_ننسى وإذا تناسى البعض نذكره بما قامت به الجزيرة وما تروج إليه في بلادنا # لا_للجزيرة_في_الجزائر …
6,قناة الخنزيرة في الجزائر !!!! بعد سنوات الدم والفتنة التي كانت تنشرها آنذاك،  تبا لك ولقطر,negative,قناة الخنزيرة في الجزائر !! بعد سنوات الدم والفتنة التي كانت تنشرها آنذاك تبا لك ولقطر
7,"RT @Cloptre35532989: https://t.co/NS0PFRnenV
الغزو الثقافي المغربي في الجزائر بعد ذلك يقولك ديالنا ولكن هيهات على لسانهم الطبخ المغربي والق…",positive,RT : الغزو الثقافي المغربي في الجزائر بعد ذلك يقولك ديالنا ولكن هيهات على لسانهم الطبخ المغربي والق …
8,"RT @norayshi: البنات تجيهم ""ممكن نتعرف"" انا تجيني مثل هذي الرسالة يوميًا 😂😭  #الجزائر 🦾 https://t.co/A2b5HrqxEO",neutral,"RT : البنات تجيهم "" ممكن نتعرف "" انا تجيني مثل هذي الرسالة يوميا 😂😭 # الجزائر 🦾"
9,منهم من تواجد لرجال ونساء حملوا على عاتقهم ما البسوا الهوية الجزائرية المشرفة وضربوا للعالم عز رجال ونساء شاريفات و… https://t.co/qDSvt0Tlzq,negative,منهم من تواجد لرجال ونساء حملوا على عاتقهم ما البسوا الهوية الجزائرية المشرفة وضربوا للعالم عز رجال ونساء شاريفات و …
10,"RT @nHjOd0fkNjOnm1q: #كلنا_معاك_يا_بطل
رغم انف الخرفان في الجزائر وليبيا والمغرب والكويت ولندن وفلسطين وقطر وتركيا وتونس وليبيا وكل العالم…",positive,RT : # كلنا_معاك_يا_بطل رغم انف الخرفان في الجزائر وليبيا والمغرب والكويت ولندن وفلسطين وقطر وتركيا وتونس وليبيا وكل العالم …
11,"RT @AImodrj: رسمياً : جمال بلعمري لاعب منتخب الجزائر اصبح لاعب حر الان . 

- هل تراه مناسباً لنادي الاتحاد 🧐 ؟ https://t.co/s87kebt0oZ",positive,RT : رسميا : جمال بلعمري لاعب منتخب الجزائر اصبح لاعب حر الان - هل تراه مناسبا لنادي الاتحاد 🧐 ؟
12,"RT @1122Mans: اخواننا واخواتنا في السودان لاتنسوهم من دعاكم 
يارب كن معهم ....

#مصر #البحرين #قطر #الكويت #الامارات #عُمان #الاردن #ليبيا…",positive,RT : اخواننا واخواتنا في السودان لاتنسوهم من دعاكم يارب كن معهم # مصر # البحرين # قطر # الكويت # الامارات # عمان # الاردن # ليبيا …
13,@ImaneDz95032613 @benabid34 هههههههه ضحكتيني اذهبي والعبي بعيدا مستوى الصحافة في الجزاير هبط اكيد بوجود امثالك من القراء اللي ميفهموش,positive,هه ضحكتيني اذهبي والعبي بعيدا مستوى الصحافة في الجزاير هبط اكيد بوجود امثالك من القراء اللي ميفهموش
14,"RT @Aliamed31: هذا الاستفتاء الذي وضعته قناة الجزيرة وحده يكفي لمنعها مدى الحياة من مزاولة مهنة الصحافة بالجزائر 
يكفي وجود مرتزقتها  من بن…",negative,RT : هذا الاستفتاء الذي وضعته قناة الجزيرة وحده يكفي لمنعها مدى الحياة من مزاولة مهنة الصحافة بالجزائر يكفي وجود مرتزقتها من بن …
